Numéro Cartoradio;"Date d'accord ANFR de l'implantation";"Date d'accord ANFR de la dernière modification"
1000548;"15/02/2013";
1000549;"15/02/2013";
1012760;"08/03/2013";
107218;"28/02/1999";"23/12/2020"
1164923;"20/12/2013";
1258046;"22/08/2014";
1274290;"14/11/2014";"13/11/2020"
1292591;"05/01/2015";"30/04/2021"
1388487;"15/01/2016";"15/02/2019"
1447404;"12/08/2016";"13/04/2018"
1470699;"14/10/2016";
1470700;"14/10/2016";
1496019;"13/01/2017";
1658933;"13/04/2018";
1662715;"20/04/2018";
1662716;"20/04/2018";
1662717;"20/04/2018";
1662718;"20/04/2018";
1720699;"31/08/2018";"08/02/2019"
1720701;"31/08/2018";"08/02/2019"
1735049;"26/10/2018";"14/02/2020"
1741609;"05/11/2018";
1741616;"05/11/2018";
1871047;"20/09/2019";
1888641;"15/11/2019";
1897664;"06/12/2019";
1898572;"27/12/2019";"13/11/2020"
1899037;"27/12/2019";
1899778;"27/12/2019";
1924006;"14/02/2020";
1947119;"24/04/2020";"31/07/2020"
1947122;"24/04/2020";"16/10/2020"
1979752;"07/08/2020";
2018643;"13/11/2020";"08/01/2021"
205522;"18/05/2001";"03/01/2018"
205691;"25/05/2001";"26/03/2021"
2067995;"12/02/2021";
25298;"06/12/1985";"16/04/2021"
307200;"08/11/2002";"30/04/2021"
364704;"21/01/2005";"23/12/2016"
399033;"17/03/2006";"20/04/2018"
418834;"25/08/2006";"12/02/2016"
418841;"25/08/2006";"12/02/2016"
418842;"25/08/2006";"12/08/2016"
418845;"25/08/2006";"12/02/2016"
418846;"25/08/2006";"12/02/2016"
418847;"25/08/2006";"12/02/2016"
418848;"25/08/2006";"12/08/2016"
41935;"06/02/1987";"22/11/2013"
506179;"04/01/2008";"01/12/2016"
532507;"08/08/2008";"03/01/2018"
533027;"14/08/2008";"09/04/2021"
533210;"08/08/2008";"03/01/2018"
556187;"05/01/2009";"30/04/2021"
559956;"09/01/2009";
560229;"09/01/2009";
560230;"09/01/2009";
560231;"09/01/2009";
560232;"09/01/2009";
560233;"09/01/2009";
560234;"09/01/2009";
560544;"09/01/2009";
560546;"09/01/2009";"04/09/2020"
576478;"10/04/2009";"05/01/2015"
579029;"17/04/2009";
591883;"03/07/2009";"30/04/2021"
592406;"10/07/2009";"03/01/2018"
604949;"18/09/2009";"10/07/2020"
631369;"15/01/2010";"30/04/2021"
645741;"19/03/2010";"09/12/2016"
645742;"19/03/2010";"09/12/2016"
646034;"19/03/2010";"23/12/2016"
646214;"19/03/2010";"20/04/2018"
652033;"09/04/2010";"20/04/2018"
652827;"16/04/2010";"30/07/2021"
654231;"23/04/2010";"20/04/2018"
654232;"23/04/2010";"09/12/2016"
654233;"23/04/2010";"01/12/2016"
654670;"23/04/2010";"23/12/2016"
657558;"07/05/2010";"09/12/2016"
657559;"07/05/2010";"09/12/2016"
657560;"07/05/2010";"20/04/2018"
66243;"01/09/1995";"16/04/2021"
702895;"07/01/2011";"05/01/2015"
702896;"07/01/2011";"05/01/2015"
769274;"02/09/2011";"13/11/2020"
769276;"02/09/2011";"10/04/2020"
769592;"02/09/2011";"10/04/2020"
769594;"02/09/2011";"05/06/2020"
769595;"02/09/2011";"03/04/2020"
795362;"23/03/2012";"08/01/2016"
798235;"16/12/2011";"29/05/2020"
798243;"06/04/2012";"24/04/2020"
799035;"16/12/2011";
799044;"16/12/2011";
799046;"16/12/2011";
81221;"25/07/1997";"04/09/2020"
829729;"23/03/2012";"10/04/2020"
829770;"30/03/2012";"23/12/2020"
832115;"06/04/2012";"24/04/2020"
832116;"30/03/2012";"13/11/2020"
